metabolic_pathway	gene_symbol
Oxidative Phosphorylation	Ndufs1
Oxidative Phosphorylation	Ndufs2
Oxidative Phosphorylation	Ndufs3
Oxidative Phosphorylation	Ndufs4
Oxidative Phosphorylation	Ndufs5
Oxidative Phosphorylation	Ndufs6
Oxidative Phosphorylation	Ndufs7
Oxidative Phosphorylation	Ndufs8
Oxidative Phosphorylation	Ndufv1
Oxidative Phosphorylation	Ndufv2
Oxidative Phosphorylation	Ndufv3
Oxidative Phosphorylation	Nsf
Oxidative Phosphorylation	Ppa1
Oxidative Phosphorylation	Ppa2
Oxidative Phosphorylation	Tusc3
Oxidative Phosphorylation	Uqcr10
Oxidative Phosphorylation	Uqcr11
Oxidative Phosphorylation	Uqcrb
Oxidative Phosphorylation	Uqcrc1
Oxidative Phosphorylation	Uqcrc2
Oxidative Phosphorylation	Uqcrfs1
Oxidative Phosphorylation	Uqcrq
Pentose Phosphate Pathway	G6pdx
Pentose Phosphate Pathway	H6pd
Pentose Phosphate Pathway	Pgd
Pentose Phosphate Pathway	Pgls
Pentose Phosphate Pathway	Pgm2
Pentose Phosphate Pathway	Prps1
Pentose Phosphate Pathway	Prps1l1
Pentose Phosphate Pathway	Prps2
Pentose Phosphate Pathway	Rbks
Pentose Phosphate Pathway	Rpe
Pentose Phosphate Pathway	Rpia
Pentose Phosphate Pathway	Taldo1
Pentose Phosphate Pathway	Tkt
Pentose Phosphate Pathway	Tktl1
Pentose Phosphate Pathway	Tktl2
Pentose and Glucuronate Interconversions	Akr1a1
Pentose and Glucuronate Interconversions	Akr1b3
Pentose and Glucuronate Interconversions	Akr7a5
Pentose and Glucuronate Interconversions	Dcxr
Pentose and Glucuronate Interconversions	Xylb
Phenylalanine metabolism	Aldh3b2
Phenylalanine metabolism	Aldh1a3
Phenylalanine metabolism	Aldh3a1
Phenylalanine metabolism	Aldh3b1
Phenylalanine metabolism	Aoc1
Phenylalanine metabolism	Aoc2
Phenylalanine metabolism	Ddc
Phenylalanine metabolism	Got1
Phenylalanine metabolism	Got2
Phenylalanine metabolism	Hpd
Phenylalanine metabolism	Maoa
Phenylalanine metabolism	Maob
Phenylalanine metabolism	Tat
Propanoate Metabolism	Aacs
Propanoate Metabolism	Acad10
Propanoate Metabolism	Acad11
Propanoate Metabolism	Acad8
Propanoate Metabolism	Acad9
Propanoate Metabolism	Acadm
Propanoate Metabolism	Acads
Propanoate Metabolism	Acadsb
Propanoate Metabolism	Acss1
Propanoate Metabolism	Acss2
Propanoate Metabolism	Aldh6a1
Purine Catabolism	Ada
Purine Catabolism	Gda
Purine Catabolism	Pnp2
Purine Catabolism	Xdh
Pyrimidine Biosynthesis	Cad
Pyrimidine Biosynthesis	Ctps2
Pyrimidine Biosynthesis	Dhodh
Pyrimidine Biosynthesis	Uck1
Pyrimidine Biosynthesis	Uck2
Pyrimidine Biosynthesis	Umps
Pyrimidine Catabolism	Aicda
Pyrimidine Catabolism	Cda
Pyrimidine Catabolism	Dctd
Pyrimidine Catabolism	Dpyd
Pyrimidine Catabolism	Dpys
Pyrimidine Catabolism	Dpysl2
Pyrimidine Catabolism	Dpysl3
Pyrimidine Catabolism	Nt5c
Pyrimidine Catabolism	Nt5c3
Pyrimidine Catabolism	Tymp
Pyrimidine Catabolism	Upb1
Pyrimidine Catabolism	Upp1
Pyrimidine Catabolism	Upp2
Pyruvate Metabolism	Aldh3b2
Pyruvate Metabolism	626571
Pyruvate Metabolism	Acot12
Pyruvate Metabolism	Adh5
Pyruvate Metabolism	Akr1a1
Pyruvate Metabolism	Akr1b3
Pyruvate Metabolism	Akr7a5
Pyruvate Metabolism	Aldh18a1
Pyruvate Metabolism	Aldh1a1
Pyruvate Metabolism	Aldh1a2
Pyruvate Metabolism	Aldh1a3
Pyruvate Metabolism	Aldh1b1
Pyruvate Metabolism	Aldh2
Pyruvate Metabolism	Aldh3a1
Pyruvate Metabolism	Aldh3a2
Pyruvate Metabolism	Aldh3b1
Pyruvate Metabolism	Aldh4a1
Pyruvate Metabolism	Aldh5a1
Pyruvate Metabolism	Aldh6a1
Pyruvate Metabolism	Aldh7a1
Pyruvate Metabolism	Aldh9a1
Pyruvate Metabolism	Cyp2e1
Pyruvate Metabolism	Glo1
Pyruvate Metabolism	Grhpr
Pyruvate Metabolism	Hagh
Pyruvate Metabolism	Haghl
Pyruvate Metabolism	Ldha
Pyruvate Metabolism	Ldhd
Pyruvate Metabolism	Me1
Pyruvate Metabolism	Me2
Pyruvate Metabolism	Me3
Pyruvate Metabolism	Pcx
ROS Detoxification	Cat
ROS Detoxification	Sod1
ROS Detoxification	Sod2
ROS Detoxification	Sod3
Riboflavin Metabolism	Acp1
Riboflavin Metabolism	Enpp1
Riboflavin Metabolism	Flad1
Salvage Pathway	Aprt
Salvage Pathway	Hprt
Selenoamino acid metabolism	Ahcy
Selenoamino acid metabolism	Ahcyl1
Selenoamino acid metabolism	Ahcyl2
Selenoamino acid metabolism	Cbs
Selenoamino acid metabolism	Cth
Selenoamino acid metabolism	Dnmt1
Selenoamino acid metabolism	Dnmt3a
Selenoamino acid metabolism	Dnmt3b
Selenoamino acid metabolism	Mat1a
Selenoamino acid metabolism	Mat2a
Selenoamino acid metabolism	Mat2b
Selenoamino acid metabolism	Papss1
Selenoamino acid metabolism	Papss2
Selenoamino acid metabolism	Scly
Selenoamino acid metabolism	Sephs1
Selenoamino acid metabolism	Sephs2
Selenoamino acid metabolism	Trdmt1
Sphingolipid Metabolism	A4galt
Sphingolipid Metabolism	Arsa
Sphingolipid Metabolism	Asah1
Sphingolipid Metabolism	B3galnt1
Sphingolipid Metabolism	B3galt4
Sphingolipid Metabolism	B3galt5
Sphingolipid Metabolism	B3gnt3
Sphingolipid Metabolism	B4galnt1
Sphingolipid Metabolism	Cerk
Sphingolipid Metabolism	Ctsa
Sphingolipid Metabolism	Degs1
Sphingolipid Metabolism	Fut1
Sphingolipid Metabolism	Gal3st1
Sphingolipid Metabolism	Galc
Sphingolipid Metabolism	Galns
Sphingolipid Metabolism	Gba
Sphingolipid Metabolism	Gbgt1
Sphingolipid Metabolism	Gla
Sphingolipid Metabolism	Glb1
Sphingolipid Metabolism	Kdsr
Sphingolipid Metabolism	Naga
Sphingolipid Metabolism	Neu1
Sphingolipid Metabolism	Sgms1
Sphingolipid Metabolism	Sgpl1
Sphingolipid Metabolism	Sgpp1
Sphingolipid Metabolism	Slc33a1
Sphingolipid Metabolism	Smpd3
Sphingolipid Metabolism	Sphk2
Sphingolipid Metabolism	Sptlc1
Sphingolipid Metabolism	Sptlc2
Sphingolipid Metabolism	St3gal2
Sphingolipid Metabolism	St3gal5
Sphingolipid Metabolism	St6galnac2
Sphingolipid Metabolism	St6galnac3
Sphingolipid Metabolism	St6galnac5
Sphingolipid Metabolism	St6galnac6
Sphingolipid Metabolism	St8sia1
Sphingolipid Metabolism	St8sia5
Sphingolipid Metabolism	Ugcg
Starch and Sucrose Metabolism	Amy2b
Starch and Sucrose Metabolism	8908
Starch and Sucrose Metabolism	Agl
Starch and Sucrose Metabolism	Amy1
Starch and Sucrose Metabolism	Amy2a4
Starch and Sucrose Metabolism	Pgghg
Starch and Sucrose Metabolism	Enpp1
Starch and Sucrose Metabolism	Enpp2
Starch and Sucrose Metabolism	Enpp3
Starch and Sucrose Metabolism	Gaa
Starch and Sucrose Metabolism	Ganc
Starch and Sucrose Metabolism	Gbe1
Starch and Sucrose Metabolism	Gyg
Starch and Sucrose Metabolism	Gys1
Starch and Sucrose Metabolism	Gys2
Starch and Sucrose Metabolism	Mgam
Starch and Sucrose Metabolism	Pygb
Starch and Sucrose Metabolism	Pygl
Starch and Sucrose Metabolism	Pygm
Starch and Sucrose Metabolism	Sis
Starch and Sucrose Metabolism	Slc3a1
Starch and Sucrose Metabolism	Slc3a2
Starch and Sucrose Metabolism	Slc7a9
Starch and Sucrose Metabolism	Treh
Starch and Sucrose Metabolism	Ugdh
Steroid Metabolism	Akr1c21
Steroid Metabolism	Akr1c6
Steroid Metabolism	Cyp11a1
Steroid Metabolism	Cyp11b1
Steroid Metabolism	Cyp11b2
Steroid Metabolism	Cyp17a1
Steroid Metabolism	Cyp19a1
Steroid Metabolism	Cyp1b1
Steroid Metabolism	Cyp21a1
Steroid Metabolism	Cyp3a13
Steroid Metabolism	Cyp3a25
Steroid Metabolism	H2-Ke6
Steroid Metabolism	Hsd11b1
Steroid Metabolism	Hsd11b2
Steroid Metabolism	Hsd17b1
Steroid Metabolism	Hsd17b2
Steroid Metabolism	Hsd17b3
Steroid Metabolism	Hsd17b7
Steroid Metabolism	Hsd3b1
Steroid Metabolism	Hsd3b2
Steroid Metabolism	Srd5a1
Steroid Metabolism	Srd5a2
Steroid Metabolism	Sult1a1
Steroid Metabolism	Sult1e1
Steroid Metabolism	Sult2a1
Steroid Metabolism	Sult2b1
Steroid Metabolism	Ugt2b38
Stilbene, coumarine and lignin biosynthesis	Tyr
Taurine and hypotaurine metabolism	Cdo1
Taurine and hypotaurine metabolism	Csad
Taurine and hypotaurine metabolism	Gad1
Taurine and hypotaurine metabolism	Gad2
Taurine and hypotaurine metabolism	Slc6a6
Tetrahydrobiopterin	Gch1
Tetrahydrobiopterin	Pcbd1
Tetrahydrobiopterin	Pts
Tetrahydrobiopterin	Qdpr
Tetrahydrobiopterin	Spr
Thiamine Metabolism	Thtpa
Thiamine Metabolism	Tpk1
Transport, Endoplasmic Reticular	2544
Transport, Endoplasmic Reticular	Col4a3bp
Transport, Endoplasmic Reticular	Slc33a1
Transport, Endoplasmic Reticular	Slc35d1
Transport, Endoplasmic Reticular	Slc37a4
Transport, Extracellular	6537
Transport, Extracellular	Abca1
Transport, Extracellular	Abcb11
Transport, Extracellular	Abcb4
Transport, Extracellular	Abcc1
Transport, Extracellular	Abcc3
Transport, Extracellular	Abcc4
Transport, Extracellular	Abcc5
Transport, Extracellular	Atp10a
Transport, Extracellular	Atp2b1
Transport, Extracellular	Atp2b2
Transport, Extracellular	Atp2b3
Transport, Extracellular	Atp2b4
Transport, Extracellular	Atp4a
Transport, Extracellular	Atp4b
Transport, Extracellular	Atp8a1
Transport, Extracellular	Cd38
Transport, Extracellular	Rhag
Transport, Extracellular	Rhbg
Transport, Extracellular	Slc10a1
Transport, Extracellular	Slc10a2
Transport, Extracellular	Slc12a1
Transport, Extracellular	Slc12a2
Transport, Extracellular	Slc12a3
Transport, Extracellular	Slc12a4
Transport, Extracellular	Slc12a5
Transport, Extracellular	Slc12a6
Transport, Extracellular	Slc12a7
Transport, Extracellular	Slc13a1
Transport, Extracellular	Slc13a2
Transport, Extracellular	Slc13a3
Transport, Extracellular	Slc13a4
Transport, Extracellular	Slc13a5
Transport, Extracellular	Slc14a1
Transport, Extracellular	Slc14a2
Transport, Extracellular	Slc15a2
Transport, Extracellular	Slc16a1
Transport, Extracellular	Slc16a2
Transport, Extracellular	Slc16a3
Transport, Extracellular	Slc16a7
Transport, Extracellular	Slc16a8
Transport, Extracellular	Slc17a1
Transport, Extracellular	Slc17a3
Transport, Extracellular	Slc17a4
Transport, Extracellular	Slc18a1
Transport, Extracellular	Slc18a2
Transport, Extracellular	Slc18a3
Transport, Extracellular	Slc19a1
Transport, Extracellular	Slc19a2
Transport, Extracellular	Slc19a3
Transport, Extracellular	Slc1a1
Transport, Extracellular	Slc1a2
Transport, Extracellular	Slc1a3
Transport, Extracellular	Slc1a4
Transport, Extracellular	Slc1a5
Transport, Extracellular	Slc1a6
Transport, Extracellular	Slc1a7
Transport, Extracellular	Slc20a1
Transport, Extracellular	Slc20a2
Transport, Extracellular	Slc22a1
Transport, Extracellular	Slc22a2
Transport, Extracellular	Slc22a3
Transport, Extracellular	Slc22a4
Transport, Extracellular	Slc22a5
Transport, Extracellular	Slc23a1
Transport, Extracellular	Slc23a2
Transport, Extracellular	Slc24a1
Transport, Extracellular	Slc24a2
Transport, Extracellular	Slc24a3
Transport, Extracellular	Slc24a4
Transport, Extracellular	Slc26a1
Transport, Extracellular	Slc26a11
Transport, Extracellular	Slc26a2
Transport, Extracellular	Slc26a3
Transport, Extracellular	Slc26a4
Transport, Extracellular	Slc26a6
Transport, Extracellular	Slc26a7
Transport, Extracellular	Slc26a8
Transport, Extracellular	Slc26a9
Transport, Extracellular	Slc27a1
Transport, Extracellular	Slc27a2
Transport, Extracellular	Slc27a3
Transport, Extracellular	Slc27a4
Transport, Extracellular	Slc27a5
Transport, Extracellular	Slc28a1
Transport, Extracellular	Slc28a2
Transport, Extracellular	Slc28a3
Transport, Extracellular	Slc29a1
Transport, Extracellular	Slc29a2
Transport, Extracellular	Slc2a1
Transport, Extracellular	Slc2a10
Transport, Extracellular	Slc2a13
Transport, Extracellular	Slc2a2
Transport, Extracellular	Slc2a3
Transport, Extracellular	Slc2a4
Transport, Extracellular	Slc2a8
Transport, Extracellular	Slc32a1
Transport, Extracellular	Slc33a1
Transport, Extracellular	Slc34a1
Transport, Extracellular	Slc34a2
Transport, Extracellular	Slc34a3
Transport, Extracellular	Slc36a1
Transport, Extracellular	Slc38a1
Transport, Extracellular	Slc38a2
Transport, Extracellular	Slc38a3
Transport, Extracellular	Slc38a4
Transport, Extracellular	Slc38a5
Transport, Extracellular	Slc3a1
Transport, Extracellular	Slc3a2
Transport, Extracellular	Slc43a1
Transport, Extracellular	Slc43a2
Transport, Extracellular	Slc46a1
Transport, Extracellular	Slc4a1
Transport, Extracellular	Slc4a10
Transport, Extracellular	Slc4a2
Transport, Extracellular	Slc4a3
Transport, Extracellular	Slc4a4
Transport, Extracellular	Slc4a5
Transport, Extracellular	Slc4a7
Transport, Extracellular	Slc4a8
Transport, Extracellular	Slc4a9
Transport, Extracellular	Slc5a1
Transport, Extracellular	Slc5a10
Transport, Extracellular	Slc5a11
Transport, Extracellular	Slc5a12
Transport, Extracellular	Slc5a2
Transport, Extracellular	Slc5a3
Transport, Extracellular	Slc5a5
Transport, Extracellular	Slc5a6
Transport, Extracellular	Slc5a7
Transport, Extracellular	Slc5a8
Transport, Extracellular	Slc5a9
Transport, Extracellular	Slc6a1
Transport, Extracellular	Slc6a11
Transport, Extracellular	Slc6a12
Transport, Extracellular	Slc6a13
Transport, Extracellular	Slc6a14
Transport, Extracellular	Slc6a2
Transport, Extracellular	Slc6a3
Transport, Extracellular	Slc6a4
Transport, Extracellular	Slc6a5
Transport, Extracellular	Slc6a6
Transport, Extracellular	Slc6a7
Transport, Extracellular	Slc6a8
Transport, Extracellular	Slc6a9
Transport, Extracellular	Slc7a1
Transport, Extracellular	Slc7a10
Transport, Extracellular	Slc7a11
Transport, Extracellular	Slc7a2
Transport, Extracellular	Slc7a3
Transport, Extracellular	Slc7a5
Transport, Extracellular	Slc7a6
Transport, Extracellular	Slc7a7
Transport, Extracellular	Slc7a8
Transport, Extracellular	Slc7a9
Transport, Extracellular	Slc8a1
Transport, Extracellular	Slc8a2
Transport, Extracellular	Slc8a3
Transport, Extracellular	Slc9a1
Transport, Extracellular	Slc9a2
Transport, Extracellular	Slc9a3
Transport, Extracellular	Slc9a4
Transport, Extracellular	Slc9a5
Transport, Extracellular	Slco1a4
Transport, Extracellular	Slco2a1
Transport, Extracellular	Slco3a1
Transport, Extracellular	Slco4a1
Transport, Golgi Apparatus	Abca1
Transport, Golgi Apparatus	Col4a3bp
Transport, Golgi Apparatus	Slc2a1
Transport, Golgi Apparatus	Slc35a1
Transport, Golgi Apparatus	Slc35a2
Transport, Golgi Apparatus	Slc35a3
Transport, Golgi Apparatus	Slc35b2
Transport, Golgi Apparatus	Slc35b4
Transport, Golgi Apparatus	Slc35c1
Transport, Golgi Apparatus	Slc35d2
Transport, Golgi Apparatus	Slc9a7
Transport, Golgi Apparatus	Slc9a8
Transport, Lysosomal	Atp6v0a1
Transport, Lysosomal	Atp6v0a2
Transport, Lysosomal	Atp6v0a4
Transport, Lysosomal	Atp6v0b
Transport, Lysosomal	Atp6v0c
Transport, Lysosomal	Atp6v0d1
Transport, Lysosomal	Atp6v0d2
Transport, Lysosomal	Atp6v0e
Transport, Lysosomal	Atp6v1a
Transport, Lysosomal	Atp6v1b1
Transport, Lysosomal	Atp6v1b2
Transport, Lysosomal	Atp6v1c1
Transport, Lysosomal	Atp6v1c2
Transport, Lysosomal	Atp6v1d
Transport, Lysosomal	Atp6v1e1
Transport, Lysosomal	Atp6v1e2
Transport, Lysosomal	Atp6v1f
Transport, Lysosomal	Atp6v1g1
Transport, Lysosomal	Atp6v1g2
Transport, Lysosomal	Atp6v1g3
Transport, Lysosomal	Atp6v1h
Transport, Lysosomal	Slc17a5
Transport, Lysosomal	Slc29a3
Transport, Lysosomal	Slc36a1
Transport, Lysosomal	Tcirg1
Transport, Mitochondrial	433923
Transport, Mitochondrial	Aqp8
Transport, Mitochondrial	Aqp9
Transport, Mitochondrial	Atp10a
Transport, Mitochondrial	Atp8a1
Transport, Mitochondrial	Mmaa
Transport, Mitochondrial	Slc16a1
Transport, Mitochondrial	Slc25a1
Transport, Mitochondrial	Slc25a10
Transport, Mitochondrial	Slc25a11
Transport, Mitochondrial	Slc25a12
Transport, Mitochondrial	Slc25a13
Transport, Mitochondrial	Slc25a14
Transport, Mitochondrial	Slc25a15
Transport, Mitochondrial	Slc25a16
Transport, Mitochondrial	Slc25a18
Transport, Mitochondrial	Slc25a19
Transport, Mitochondrial	Slc25a2
Transport, Mitochondrial	Slc25a20
Transport, Mitochondrial	Slc25a22
Transport, Mitochondrial	Slc25a26
Transport, Mitochondrial	Slc25a27
Transport, Mitochondrial	Slc25a3
Transport, Mitochondrial	Slc25a4
Transport, Mitochondrial	Slc25a5
Transport, Mitochondrial	Slc29a1
Transport, Mitochondrial	Stard3
Transport, Mitochondrial	Ucp1
Transport, Mitochondrial	Ucp2
Transport, Mitochondrial	Ucp3
Transport, Peroxisomal	Scp2
Triacylglycerol Synthesis	Agpat1
Triacylglycerol Synthesis	Agpat2
Triacylglycerol Synthesis	Agpat3
Triacylglycerol Synthesis	Agpat4
Triacylglycerol Synthesis	Agpat5
Triacylglycerol Synthesis	Dgat1
Triacylglycerol Synthesis	Dgat2
Triacylglycerol Synthesis	Gnpat
Triacylglycerol Synthesis	Gpam
Triacylglycerol Synthesis	Gpat4
Triacylglycerol Synthesis	Lipc
Triacylglycerol Synthesis	Lipf
Triacylglycerol Synthesis	Lipg
Triacylglycerol Synthesis	Lpl
Triacylglycerol Synthesis	Mgll
Triacylglycerol Synthesis	Mogat1
Triacylglycerol Synthesis	Mogat2
Triacylglycerol Synthesis	Pla2g3
Triacylglycerol Synthesis	Plpp1
Triacylglycerol Synthesis	Plpp2
Triacylglycerol Synthesis	Plpp3
Triacylglycerol Synthesis	Pnlip
Triacylglycerol Synthesis	Pnliprp1
Triacylglycerol Synthesis	Pnliprp2
Tryptophan metabolism	Aadat
Tryptophan metabolism	Aanat
Tryptophan metabolism	Acat1
Tryptophan metabolism	Acat3
Tryptophan metabolism	Acmsd
Tryptophan metabolism	Aldh1a1
Tryptophan metabolism	Aldh1a2
Tryptophan metabolism	Aldh1b1
Tryptophan metabolism	Aldh2
Tryptophan metabolism	Aldh3a2
Tryptophan metabolism	Aldh4a1
Tryptophan metabolism	Aldh7a1
Tryptophan metabolism	Aldh9a1
Tryptophan metabolism	Aoc1
Tryptophan metabolism	Aoc2
Tryptophan metabolism	Aox1
Tryptophan metabolism	Auh
Tryptophan metabolism	Cyp1a1
Tryptophan metabolism	Cyp1a2
Tryptophan metabolism	Cyp1b1
Tryptophan metabolism	Cyp2c54
Tryptophan metabolism	Ddc
Tryptophan metabolism	Ech1
Tryptophan metabolism	Echs1
Tryptophan metabolism	Ehhadh
Tryptophan metabolism	Gcdh
Tryptophan metabolism	Haao
Tryptophan metabolism	Hadh
Tryptophan metabolism	Hadha
Tryptophan metabolism	Hadhb
Tryptophan metabolism	Hsd17b10
Tryptophan metabolism	Hsd17b4
Tryptophan metabolism	Ido1
Tryptophan metabolism	Inmt
Tryptophan metabolism	Kmo
Tryptophan metabolism	Kyat1
Tryptophan metabolism	Kynu
Tryptophan metabolism	Maoa
Tryptophan metabolism	Maob
Tryptophan metabolism	Slc25a21
Tryptophan metabolism	Tdo2
Tryptophan metabolism	Tph1
Tryptophan metabolism	Tph2
Tyr, Phe, Trp Biosynthesis	Pah
Tyrosine metabolism	Aldh3b2
Tyrosine metabolism	Adh5
Tyrosine metabolism	Aldh1a3
Tyrosine metabolism	Aldh3a1
Tyrosine metabolism	Aldh3b1
Tyrosine metabolism	Aoc1
Tyrosine metabolism	Aoc2
Tyrosine metabolism	Aoc3
Tyrosine metabolism	Comt
Tyrosine metabolism	Comtd1
Tyrosine metabolism	Dbh
Tyrosine metabolism	Dct
Tyrosine metabolism	Ddc
Tyrosine metabolism	Duox1
Tyrosine metabolism	Duox2
Tyrosine metabolism	Esd
Tyrosine metabolism	Fah
Tyrosine metabolism	Got1
Tyrosine metabolism	Got2
Tyrosine metabolism	Gstz1
Tyrosine metabolism	Hgd
Tyrosine metabolism	Hpd
Tyrosine metabolism	Maoa
Tyrosine metabolism	Maob
Tyrosine metabolism	Moxd1
Tyrosine metabolism	Pnmt
Tyrosine metabolism	Sult1a1
Tyrosine metabolism	Tat
Tyrosine metabolism	Th
Tyrosine metabolism	Tpo
Tyrosine metabolism	Tyr
Tyrosine metabolism	Tyrp1
Ubiquinone Biosynthesis	Coq2
Ubiquinone Biosynthesis	Coq3
Ubiquinone Biosynthesis	Coq6
Ubiquinone Biosynthesis	Coq7
Urea cycle/amino group metabolism	Ckmt1
Urea cycle/amino group metabolism	Acy1
Urea cycle/amino group metabolism	Aldh18a1
Urea cycle/amino group metabolism	Aqp9
Urea cycle/amino group metabolism	Arg1
Urea cycle/amino group metabolism	Arg2
Urea cycle/amino group metabolism	Ckb
Urea cycle/amino group metabolism	Ckm
Urea cycle/amino group metabolism	Ckmt2
Urea cycle/amino group metabolism	Gamt
Urea cycle/amino group metabolism	Gatm
Urea cycle/amino group metabolism	Nags
Urea cycle/amino group metabolism	Oat
Urea cycle/amino group metabolism	Odc1
Urea cycle/amino group metabolism	Otc
Urea cycle/amino group metabolism	Pycr2
Urea cycle/amino group metabolism	Pycrl
Urea cycle/amino group metabolism	Sardh
Urea cycle/amino group metabolism	Sms
Urea cycle/amino group metabolism	Srm
Valine, Leucine, and Isoleucine Metabolism	Abat
Valine, Leucine, and Isoleucine Metabolism	Acad8
Valine, Leucine, and Isoleucine Metabolism	Acadm
Valine, Leucine, and Isoleucine Metabolism	Acadsb
Valine, Leucine, and Isoleucine Metabolism	Acat1
Valine, Leucine, and Isoleucine Metabolism	Aldh6a1
Valine, Leucine, and Isoleucine Metabolism	Auh
Valine, Leucine, and Isoleucine Metabolism	Bcat1
Valine, Leucine, and Isoleucine Metabolism	Bcat2
Valine, Leucine, and Isoleucine Metabolism	Bckdha
Valine, Leucine, and Isoleucine Metabolism	Bckdhb
Valine, Leucine, and Isoleucine Metabolism	Dbt
Valine, Leucine, and Isoleucine Metabolism	Dld
Valine, Leucine, and Isoleucine Metabolism	Echs1
Valine, Leucine, and Isoleucine Metabolism	Hadha
Valine, Leucine, and Isoleucine Metabolism	Hadhb
Valine, Leucine, and Isoleucine Metabolism	Hibadh
Valine, Leucine, and Isoleucine Metabolism	Hsd17b10
Valine, Leucine, and Isoleucine Metabolism	Ivd
Valine, Leucine, and Isoleucine Metabolism	Mccc1
Valine, Leucine, and Isoleucine Metabolism	Mccc2
Valine, Leucine, and Isoleucine Metabolism	Mcee
Valine, Leucine, and Isoleucine Metabolism	Mlycd
Valine, Leucine, and Isoleucine Metabolism	Mmut
Valine, Leucine, and Isoleucine Metabolism	Oxct1
Valine, Leucine, and Isoleucine Metabolism	Oxct2a
Valine, Leucine, and Isoleucine Metabolism	Pcca
Valine, Leucine, and Isoleucine Metabolism	Pccb
Vitamin A Metabolism	Bco1
Vitamin A Metabolism	Gstm2
Vitamin A Metabolism	Lrat
Vitamin A Metabolism	Rdh1
Vitamin A Metabolism	Rdh10
Vitamin A Metabolism	Rdh11
Vitamin A Metabolism	Rdh12
Vitamin A Metabolism	Rdh13
Vitamin A Metabolism	Rdh14
Vitamin A Metabolism	Rdh5
Vitamin A Metabolism	Rdh8
Vitamin A Metabolism	Sdr16c5
Vitamin B12 Metabolism	Mmaa
Vitamin B6 Metabolism	Aox1
Vitamin B6 Metabolism	Pdxk
Vitamin B6 Metabolism	Pdxp
Vitamin B6 Metabolism	Pnpo
Vitamin D	Cyp24a1
Vitamin D	Cyp27a1
Vitamin D	Cyp27b1
beta-Alanine metabolism	Abat
beta-Alanine metabolism	Aldh1a1
beta-Alanine metabolism	Aldh1a2
beta-Alanine metabolism	Aldh1b1
beta-Alanine metabolism	Aldh2
beta-Alanine metabolism	Aldh3a2
beta-Alanine metabolism	Aldh4a1
beta-Alanine metabolism	Aldh7a1
beta-Alanine metabolism	Aldh9a1
beta-Alanine metabolism	Aoc1
beta-Alanine metabolism	Aoc2
beta-Alanine metabolism	Aoc3
beta-Alanine metabolism	Auh
beta-Alanine metabolism	Cndp1
beta-Alanine metabolism	Echs1
beta-Alanine metabolism	Ehhadh
beta-Alanine metabolism	Gad1
beta-Alanine metabolism	Hadha
beta-Alanine metabolism	Hadhb
beta-Alanine metabolism	Hibch
